"","ID","name","genre","editor","dev","year","platform","period","link","addon"
"23",13,"Achtung Spitfire","stratégie","Avalon Hill","Big Time Software","1997","mac","deuxième guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/serie_overthereich/Achtung-spitfire.php","games"
"24",13,"Achtung Spitfire","stratégie","Avalon Hill","Big Time Software","1997","mac","front ouest","http://www.histogames.com/HTML/inventaire/fiche_game/serie_overthereich/Achtung-spitfire.php","games"
"25",14,"Advanced Tactics : World War II","stratégie","Matrix Games","VR Studios","2007","windows","deuxième guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/serie_advancedtactics/Advanced-tactics-world-war-ii.php","games"
"26",14,"Advanced Tactics : World War II","stratégie","Matrix Games","VR Studios","2007","windows","front ouest","http://www.histogames.com/HTML/inventaire/fiche_game/serie_advancedtactics/Advanced-tactics-world-war-ii.php","games"
"27",14,"Advanced Tactics : World War II","stratégie","Matrix Games","VR Studios","2007","windows","front est","http://www.histogames.com/HTML/inventaire/fiche_game/serie_advancedtactics/Advanced-tactics-world-war-ii.php","games"
"28",15,"Afrika Korps vs. Desert Rats","stratégie","Monte Cristo Multimédia","Digital Reality","2004","windows","deuxième guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/A/Afrika-korps-vs-desert-rats.php","games"
"29",15,"Afrika Korps vs. Desert Rats","stratégie","Monte Cristo Multimédia","Digital Reality","2004","windows","front africain","http://www.histogames.com/HTML/inventaire/fiche_game/A/Afrika-korps-vs-desert-rats.php","games"
"30",16,"Against Rome","stratégie","JoWood","Independent Arts Software","2004","windows","antiquité","http://www.histogames.com/HTML/inventaire/fiche_game/A/Against-rome.php","games"
"31",16,"Against Rome","stratégie","JoWood","Independent Arts Software","2004","windows","invasions barbares","http://www.histogames.com/HTML/inventaire/fiche_game/A/Against-rome.php","games"
"32",17,"Age of Booty","stratégie","Capcom","Certain Affinity","2008","windows","piraterie","http://www.histogames.com/HTML/inventaire/fiche_game/A/Age-of-booty.php","games"
"33",17,"Age of Booty","stratégie","Capcom","Certain Affinity","2008","ps3","piraterie","http://www.histogames.com/HTML/inventaire/fiche_game/A/Age-of-booty.php","games"
"34",17,"Age of Booty","stratégie","Capcom","Certain Affinity","2008","xbox 360","piraterie","http://www.histogames.com/HTML/inventaire/fiche_game/A/Age-of-booty.php","games"
"35",18,"Age of Chivalry","action","Team Chivalry","Team Chivalry","2007","windows","moyen-âge","http://www.histogames.com/HTML/inventaire/fiche_game/A/Age-of-chivalry.php","games"
"36",19,"Age of Empires","stratégie","Microsoft Game","Ensemble Studios","1997","windows","préhistoire","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOE.php","games"
"37",19,"Age of Empires","stratégie","Microsoft Game","Ensemble Studios","1997","windows","antiquité","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOE.php","games"
"38",19,"Age of Empires","stratégie","Microsoft Game","Ensemble Studios","1997","windows","egypte antique","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOE.php","games"
"39",19,"Age of Empires","stratégie","Microsoft Game","Ensemble Studios","1997","mac","préhistoire","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOE.php","games"
"40",19,"Age of Empires","stratégie","Microsoft Game","Ensemble Studios","1997","mac","antiquité","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOE.php","games"
"41",19,"Age of Empires","stratégie","Microsoft Game","Ensemble Studios","1997","mac","egypte antique","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOE.php","games"
"42",21,"Age of Empires : Mythologies","stratégie","THQ","Griptonite Games","2009","nintendo ds","mythologie égyptienne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOM.php","games"
"43",21,"Age of Empires : Mythologies","stratégie","THQ","Griptonite Games","2009","nintendo ds","mythologie gréco-romaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOM.php","games"
"44",21,"Age of Empires : Mythologies","stratégie","THQ","Griptonite Games","2009","nintendo ds","mythologie germano-nordique","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOM.php","games"
"45",22,"Age of Empires : The Age of Kings","stratégie","THQ","Backbone Entertainment","2006","nintendo ds","moyen-âge","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"46",22,"Age of Empires : The Age of Kings","stratégie","THQ","Backbone Entertainment","2006","nintendo ds","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"47",22,"Age of Empires : The Age of Kings","stratégie","THQ","Backbone Entertainment","2006","nintendo ds","invasions barbares","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"48",22,"Age of Empires : The Age of Kings","stratégie","THQ","Backbone Entertainment","2006","nintendo ds","guerre de cent ans","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"49",22,"Age of Empires : The Age of Kings","stratégie","THQ","Backbone Entertainment","2006","nintendo ds","invasions mongoles","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"50",22,"Age of Empires : The Age of Kings","stratégie","THQ","Backbone Entertainment","2006","nintendo ds","croisades","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"51",22,"Age of Empires : The Age of Kings","stratégie","THQ","Backbone Entertainment","2006","nintendo ds","guerres indépendance écosse","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"52",23,"Age of Empires : The Rise of Rome (Addon)","stratégie","Microsoft Game","Ensemble Studios","1998","windows","antiquité","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOE-RR.php","addon"
"53",23,"Age of Empires : The Rise of Rome (Addon)","stratégie","Microsoft Game","Ensemble Studios","1998","windows","conquêtes romaines","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOE-RR.php","addon"
"54",23,"Age of Empires : The Rise of Rome (Addon)","stratégie","Microsoft Game","Ensemble Studios","1998","windows","egypte antique","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOE-RR.php","addon"
"55",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","windows","moyen-âge","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"56",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","windows","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"57",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","windows","invasions barbares","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"58",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","windows","guerre de cent ans","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"59",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","windows","invasions mongoles","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"60",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","windows","croisades","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"61",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","windows","guerres indépendance écosse","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"62",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","ps2","moyen-âge","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"63",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","ps2","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"64",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","ps2","invasions barbares","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"65",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","ps2","guerre de cent ans","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"66",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","ps2","invasions mongoles","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"67",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","ps2","croisades","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"68",25,"Age of Empires II : The Age of Kings","stratégie","Microsoft Game","Ensemble Studios","1999","ps2","guerres indépendance écosse","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII.php","games"
"69",26,"Age of Empires II : The Conquerors Expansion (addon)","stratégie","Microsoft Game","Ensemble Studios","2000","windows","moyen-âge","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII-CE.php","addon"
"70",26,"Age of Empires II : The Conquerors Expansion (addon)","stratégie","Microsoft Game","Ensemble Studios","2000","windows","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII-CE.php","addon"
"71",26,"Age of Empires II : The Conquerors Expansion (addon)","stratégie","Microsoft Game","Ensemble Studios","2000","windows","invasions barbares","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII-CE.php","addon"
"72",26,"Age of Empires II : The Conquerors Expansion (addon)","stratégie","Microsoft Game","Ensemble Studios","2000","windows","conquista","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII-CE.php","addon"
"73",26,"Age of Empires II : The Conquerors Expansion (addon)","stratégie","Microsoft Game","Ensemble Studios","2000","windows","guerre imjin","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII-CE.php","addon"
"74",26,"Age of Empires II : The Conquerors Expansion (addon)","stratégie","Microsoft Game","Ensemble Studios","2000","windows","sengoku jidai","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEII-CE.php","addon"
"75",27,"Age of Empires III","stratégie","Microsoft Game","Ensemble Studios","2005","windows","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII.php","games"
"76",27,"Age of Empires III","stratégie","Microsoft Game","Ensemble Studios","2005","windows","epoque contemporaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII.php","games"
"77",27,"Age of Empires III","stratégie","Microsoft Game","Ensemble Studios","2005","windows","conquista","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII.php","games"
"78",27,"Age of Empires III","stratégie","Microsoft Game","Ensemble Studios","2005","windows","guerre indépendance américaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII.php","games"
"79",27,"Age of Empires III","stratégie","Microsoft Game","Ensemble Studios","2005","windows","guerre de sécession","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII.php","games"
"80",27,"Age of Empires III","stratégie","Microsoft Game","Ensemble Studios","2005","mac","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII.php","games"
"81",27,"Age of Empires III","stratégie","Microsoft Game","Ensemble Studios","2005","mac","epoque contemporaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII.php","games"
"82",27,"Age of Empires III","stratégie","Microsoft Game","Ensemble Studios","2005","mac","conquista","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII.php","games"
"83",27,"Age of Empires III","stratégie","Microsoft Game","Ensemble Studios","2005","mac","guerre indépendance américaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII.php","games"
"84",27,"Age of Empires III","stratégie","Microsoft Game","Ensemble Studios","2005","mac","guerre de sécession","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII.php","games"
"85",28,"Age of Empires III : Complete Collection","stratégie","Microsoft Game","Ensemble Studios","2009","windows","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-CC.php","games"
"86",28,"Age of Empires III : Complete Collection","stratégie","Microsoft Game","Ensemble Studios","2009","windows","conquista","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-CC.php","games"
"87",28,"Age of Empires III : Complete Collection","stratégie","Microsoft Game","Ensemble Studios","2009","windows","sengoku jidai","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-CC.php","games"
"88",28,"Age of Empires III : Complete Collection","stratégie","Microsoft Game","Ensemble Studios","2009","windows","epoque contemporaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-CC.php","games"
"89",28,"Age of Empires III : Complete Collection","stratégie","Microsoft Game","Ensemble Studios","2009","windows","guerre indépendance américaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-CC.php","games"
"90",28,"Age of Empires III : Complete Collection","stratégie","Microsoft Game","Ensemble Studios","2009","windows","guerre de sécession","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-CC.php","games"
"91",30,"Age of Empires III : The Asian Dynasties (addon)","stratégie","Microsoft Game","Ensemble Studios","2007","windows","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-AD.php","addon"
"92",30,"Age of Empires III : The Asian Dynasties (addon)","stratégie","Microsoft Game","Ensemble Studios","2007","windows","sengoku jidai","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-AD.php","addon"
"93",30,"Age of Empires III : The Asian Dynasties (addon)","stratégie","Microsoft Game","Ensemble Studios","2007","mac","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-AD.php","addon"
"94",30,"Age of Empires III : The Asian Dynasties (addon)","stratégie","Microsoft Game","Ensemble Studios","2007","mac","sengoku jidai","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-AD.php","addon"
"95",31,"Age of Empires III : The Napoleonic Era (addon non-officiel)","stratégie","The Napoleonic Era Core Team","The Napoleonic Era Core Team","2007","windows","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-NE.php","addon"
"96",31,"Age of Empires III : The Napoleonic Era (addon non-officiel)","stratégie","The Napoleonic Era Core Team","The Napoleonic Era Core Team","2007","windows","guerres napoléoniennes","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-NE.php","addon"
"97",32,"Age of Empires III : The WarChiefs (addon)","stratégie","Microsoft Game","Ensemble Studios","2006","windows","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-W.php","addon"
"98",32,"Age of Empires III : The WarChiefs (addon)","stratégie","Microsoft Game","Ensemble Studios","2006","windows","conquista","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-W.php","addon"
"99",32,"Age of Empires III : The WarChiefs (addon)","stratégie","Microsoft Game","Ensemble Studios","2006","windows","epoque contemporaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-W.php","addon"
"100",32,"Age of Empires III : The WarChiefs (addon)","stratégie","Microsoft Game","Ensemble Studios","2006","windows","guerre indépendance américaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-W.php","addon"
"101",32,"Age of Empires III : The WarChiefs (addon)","stratégie","Microsoft Game","Ensemble Studios","2006","mac","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-W.php","addon"
"102",32,"Age of Empires III : The WarChiefs (addon)","stratégie","Microsoft Game","Ensemble Studios","2006","mac","conquista","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-W.php","addon"
"103",32,"Age of Empires III : The WarChiefs (addon)","stratégie","Microsoft Game","Ensemble Studios","2006","mac","epoque contemporaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-W.php","addon"
"104",32,"Age of Empires III : The WarChiefs (addon)","stratégie","Microsoft Game","Ensemble Studios","2006","mac","guerre indépendance américaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEIII-W.php","addon"
"105",33,"Age of Empires Online","stratégie","Microsoft Game","Gas Powered Game","2011","navigateur internet","antiquité","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOEOnline.php","games"
"106",34,"Age of Mythology","stratégie","Microsoft Game","Ensemble Studios","2002","windows","mythologie égyptienne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOM.php","games"
"107",34,"Age of Mythology","stratégie","Microsoft Game","Ensemble Studios","2002","windows","mythologie gréco-romaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOM.php","games"
"108",34,"Age of Mythology","stratégie","Microsoft Game","Ensemble Studios","2002","windows","mythologie germano-nordique","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOM.php","games"
"109",34,"Age of Mythology","stratégie","Microsoft Game","Ensemble Studios","2002","mac","mythologie égyptienne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOM.php","games"
"110",34,"Age of Mythology","stratégie","Microsoft Game","Ensemble Studios","2002","mac","mythologie gréco-romaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOM.php","games"
"111",34,"Age of Mythology","stratégie","Microsoft Game","Ensemble Studios","2002","mac","mythologie germano-nordique","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOM.php","games"
"112",36,"Age of Mythology : The Titans (addon)","stratégie","Microsoft Game","Ensemble Studios","2003","windows","mythologie égyptienne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOM-T.php","addon"
"113",36,"Age of Mythology : The Titans (addon)","stratégie","Microsoft Game","Ensemble Studios","2003","windows","mythologie gréco-romaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOM-T.php","addon"
"114",36,"Age of Mythology : The Titans (addon)","stratégie","Microsoft Game","Ensemble Studios","2003","windows","mythologie germano-nordique","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofempires/AOM-T.php","addon"
"115",37,"Age of Pirates : Caribbean Tales","jeu de rôle","Playlogic International","Akella","2006","windows","piraterie","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofpirates/Age-of-pirates-caribbean-tales.php","games"
"116",38,"Age of Pirates 2 : City of Abandoned Ships","jeu de rôle","Playlogic International","Akella","2009","windows","piraterie","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofpirates/Age-of-pirates-2-city-of-abandoned-ships.php","games"
"117",39,"Age of Sail","stratégie","Talonsoft","Talonsoft","1996","windows","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofsail/Age-of-sail.php","games"
"118",39,"Age of Sail","stratégie","Talonsoft","Talonsoft","1996","windows","guerres napoléoniennes","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofsail/Age-of-sail.php","games"
"119",40,"Age of Sail II","stratégie","Talonsoft","Akella","2001","windows","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofsail/Age-of-sail-ii.php","games"
"120",40,"Age of Sail II","stratégie","Talonsoft","Akella","2001","windows","guerre indépendance américaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofsail/Age-of-sail-ii.php","games"
"121",40,"Age of Sail II","stratégie","Talonsoft","Akella","2001","windows","guerres napoléoniennes","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofsail/Age-of-sail-ii.php","games"
"122",41,"Age of Sail II : Privateer's Bounty","stratégie","Talonsoft","Akella","2002","windows","epoque moderne","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofsail/Age-of-sail-ii-privateers-bounty.php","games"
"123",41,"Age of Sail II : Privateer's Bounty","stratégie","Talonsoft","Akella","2002","windows","guerre indépendance américaine","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofsail/Age-of-sail-ii-privateers-bounty.php","games"
"124",41,"Age of Sail II : Privateer's Bounty","stratégie","Talonsoft","Akella","2002","windows","guerres napoléoniennes","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofsail/Age-of-sail-ii-privateers-bounty.php","games"
"125",41,"Age of Sail II : Privateer's Bounty","stratégie","Talonsoft","Akella","2002","windows","piraterie","http://www.histogames.com/HTML/inventaire/fiche_game/serie_ageofsail/Age-of-sail-ii-privateers-bounty.php","games"
"126",42,"AGEOD's American Civil War : The Blue and the Gray","stratégie","Paradox Interactive","AGEOD","2007","windows","guerre de sécession","http://www.histogames.com/HTML/inventaire/fiche_game/A/AGEODs-american-civil-war-the-blue-and-the-gray.php","games"
"127",42,"AGEOD's American Civil War : The Blue and the Gray","stratégie","Paradox Interactive","AGEOD","2007","mac","guerre de sécession","http://www.histogames.com/HTML/inventaire/fiche_game/A/AGEODs-american-civil-war-the-blue-and-the-gray.php","games"
"128",43,"101 Airborne : The Airborne Invasion of Normandy","stratégie","Empire Interactive","Shrapnel Games","1998","windows","deuxième guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/101-airborne-the-airborne-invasion-of-normandy.php","games"
"129",43,"101 Airborne : The Airborne Invasion of Normandy","stratégie","Empire Interactive","Shrapnel Games","1998","windows","front ouest","http://www.histogames.com/HTML/inventaire/fiche_game/0-9/101-airborne-the-airborne-invasion-of-normandy.php","games"
"130",44,"Airborne Assault","stratégie","Focus","Panther Games","2003","windows","deuxième guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/serie_airborneassault/Airborne-assault.php","games"
"131",44,"Airborne Assault","stratégie","Focus","Panther Games","2003","windows","front ouest","http://www.histogames.com/HTML/inventaire/fiche_game/serie_airborneassault/Airborne-assault.php","games"
"132",45,"Airstrike Eagles of World War II","simulation","Slitherine Software","Slitherine Software","2010","windows","deuxième guerre mondiale","http://www.histogames.com/HTML/inventaire/fiche_game/A/Aistrike-eagles-of-world-war-ii.php","games"
"133",46,"Aladdin : La Revanche de Nasira","action","Sony","Argonaut","2000","windows","mille et une nuits","http://www.histogames.com/HTML/inventaire/fiche_game/serie_aladdin/Aladdin-la-revanche-de-nasira.php","games"
"134",46,"Aladdin : La Revanche de Nasira","action","Sony","Argonaut","2000","ps1","mille et une nuits","http://www.histogames.com/HTML/inventaire/fiche_game/serie_aladdin/Aladdin-la-revanche-de-nasira.php","games"
"135",47,"Alexandre","stratégie","Ubisoft","GSC Game World","2004","windows","antiquité","http://www.histogames.com/HTML/inventaire/fiche_game/A/Alexandre.php","games"
"136",47,"Alexandre","stratégie","Ubisoft","GSC Game World","2004","windows","conquêtes alexandre le grand","http://www.histogames.com/HTML/inventaire/fiche_game/A/Alexandre.php","games"
